year,count
1995,2
1996,1
1998,1
1999,5
2000,1
2001,3
2002,5
2003,5
2004,4
2005,4
2006,9
2007,5
2008,12
2009,13
2010,21
2011,46
2012,65
2013,71
2014,71
2015,119
2016,313
2017,711
2018,1295
2019,2192
2020,2953
2021,3255
2022,3571
2023,4306
2024,5374
2025,8645
